Combo ID,Sequence
Combo 1,Body Shot - Cross - Step Right - Slip - Roll
Combo 2,Cross - Step Left - Jab - Duck - Pivot - Lead Uppercut
Combo 3,Body Shot - Cross - Step Right - Duck
Combo 4,Roll - Body Shot - Slip - Hook - Step Left
Combo 5,Roll - Body Cross
Combo 6,Roll - Lead Uppercut - Step Right
Combo 7,Body Cross - Jab
Combo 8,Body Cross - Slip - Cross - Duck - Hook
Combo 9,Cross - Step Left - Pivot - Roll - Duck
Combo 10,Body Cross - Jab - Lead Uppercut - Step Right - Pivot - Duck
Combo 11,Slip - Duck - Body Shot
Combo 12,Roll - Jab
Combo 13,Slip - Pivot - Body Shot - Step Left - Jab
Combo 14,Step Right - Body Cross - Step Left - Slip
Combo 15,Duck - Step Right - Uppercut - Pivot - Step Left
Combo 16,Duck - Body Cross
Combo 17,Lead Uppercut - Roll - Hook
Combo 18,Body Shot - Jab - Lead Uppercut
Combo 19,Uppercut - Roll - Cross - Pivot - Jab - Slip
Combo 20,Step Right - Roll - Body Cross - Uppercut
Combo 21,Roll - Hook - Step Left - Uppercut - Body Cross
Combo 22,Body Cross - Hook
Combo 23,Duck - Cross - Slip - Step Left - Body Cross
Combo 24,Roll - Jab - Body Shot - Cross
Combo 25,Cross - Body Shot
Combo 26,Body Shot - Duck - Hook - Pivot - Body Cross
Combo 27,Uppercut - Step Left
Combo 28,Roll - Body Shot - Slip - Hook - Body Cross - Step Right
Combo 29,Lead Uppercut - Jab - Pivot - Body Shot - Duck - Slip
Combo 30,Slip - Uppercut - Roll - Step Left
Combo 31,Hook - Uppercut - Cross - Body Cross
Combo 32,Pivot - Duck - Step Left - Cross - Uppercut
Combo 33,Body Cross - Step Right - Lead Uppercut - Slip - Hook
Combo 34,Step Right - Uppercut - Body Shot - Body Cross
Combo 35,Cross - Step Right
Combo 36,Cross - Step Right - Duck - Jab
Combo 37,Step Right - Lead Uppercut
Combo 38,Hook - Step Right
Combo 39,Cross - Step Left - Jab
Combo 40,Uppercut - Step Right - Jab
Combo 41,Duck - Step Left - Cross - Body Cross - Roll - Jab
Combo 42,Pivot - Step Left - Cross
Combo 43,Step Left - Lead Uppercut - Cross
Combo 44,Step Left - Lead Uppercut - Duck - Uppercut - Jab
Combo 45,Body Cross - Uppercut - Step Right - Cross - Roll - Hook
Combo 46,Cross - Step Left - Jab - Roll - Pivot - Lead Uppercut
Combo 47,Body Cross - Uppercut - Hook
Combo 48,Lead Uppercut - Step Left - Body Cross - Slip - Pivot
Combo 49,Body Shot - Uppercut - Slip - Hook - Step Left
Combo 50,Step Left - Jab - Body Cross - Duck - Roll
Combo 51,Body Cross - Uppercut - Slip - Step Left
Combo 52,Lead Uppercut - Step Left
Combo 53,Lead Uppercut - Duck - Roll - Body Shot
Combo 54,Body Cross - Pivot - Slip
Combo 55,Body Shot - Jab - Body Cross - Hook
Combo 56,Duck - Lead Uppercut
Combo 57,Step Left - Uppercut - Hook - Body Shot - Body Cross - Step Right
Combo 58,Body Shot - Cross - Roll - Step Right
Combo 59,Jab - Duck
Combo 60,Hook - Roll - Slip - Cross - Jab
Combo 61,Cross - Duck - Body Shot - Roll - Step Right
Combo 62,Cross - Pivot - Body Cross - Jab
Combo 63,Lead Uppercut - Uppercut - Step Left - Jab - Body Shot - Body Cross
Combo 64,Slip - Lead Uppercut
Combo 65,Slip - Roll
Combo 66,Jab - Lead Uppercut - Step Right - Pivot - Hook
Combo 67,Uppercut - Step Left - Pivot - Hook
Combo 68,Lead Uppercut - Duck - Cross
Combo 69,Step Left - Uppercut - Jab - Cross - Step Right
Combo 70,Body Cross - Hook - Pivot - Body Shot - Jab - Step Right
Combo 71,Roll - Body Cross - Body Shot - Lead Uppercut - Pivot - Step Right
Combo 72,Cross - Roll - Hook - Lead Uppercut
Combo 73,Hook - Roll - Jab - Slip - Body Cross - Step Right
Combo 74,Body Cross - Step Right - Cross - Step Left - Jab
Combo 75,Body Cross - Cross - Duck - Uppercut
